id,from_system_id,to_system_id,distance,route_type,stability,tags
route-sys-0007-sys-0010,sys-0007,sys-0010,1,DangerousPassage,Hazardous,
route-sys-0007-sys-0012-smuggling,sys-0007,sys-0012,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0007-sys-0013-smuggling,sys-0007,sys-0013,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0008-sys-0011,sys-0008,sys-0011,2,ChartedPassage,Stable,
route-sys-0008-sys-0013,sys-0008,sys-0013,3,ChartedPassage,Stable,
route-sys-0008-sys-0015,sys-0008,sys-0015,4,ChartedPassage,Unstable,
route-sys-0008-sys-0016,sys-0008,sys-0016,4,ChartedPassage,Unstable,
route-sys-0008-sys-0020-webway,sys-0008,sys-0020,8,Webway,Stable,hidden:webway
route-sys-0008-sys-0022-webway,sys-0008,sys-0022,6,Webway,Stable,hidden:webway
route-sys-0009-sys-0011,sys-0009,sys-0011,1,DangerousPassage,Hazardous,
route-sys-0010-sys-0018,sys-0010,sys-0018,4,DangerousPassage,Hazardous,bridge
route-sys-0011-sys-0013,sys-0011,sys-0013,1,ChartedPassage,Stable,
route-sys-0011-sys-0015,sys-0011,sys-0015,3,ChartedPassage,Stable,
route-sys-0011-sys-0016,sys-0011,sys-0016,2,ChartedPassage,Stable,
route-sys-0011-sys-0022-webway,sys-0011,sys-0022,5,Webway,Stable,hidden:webway
route-sys-0011-sys-0024-webway,sys-0011,sys-0024,5,Webway,Stable,hidden:webway
route-sys-0012-sys-0017,sys-0012,sys-0017,3,DangerousPassage,Perilous,bridge
route-sys-0012-sys-0019-smuggling,sys-0012,sys-0019,4,SmugglingLane,Stable,hidden:smuggling
route-sys-0012-sys-0021,sys-0012,sys-0021,4,DangerousPassage,Hazardous,bridge
route-sys-0012-sys-0024-smuggling,sys-0012,sys-0024,6,SmugglingLane,Stable,hidden:smuggling
route-sys-0013-sys-0014,sys-0013,sys-0014,1,DangerousPassage,Hazardous,
route-sys-0013-sys-0015,sys-0013,sys-0015,2,ChartedPassage,Stable,
route-sys-0013-sys-0016,sys-0013,sys-0016,1,ChartedPassage,Stable,
route-sys-0013-sys-0024,sys-0013,sys-0024,4,ChartedPassage,Unstable,
route-sys-0014-sys-0016,sys-0014,sys-0016,1,DangerousPassage,Hazardous,
route-sys-0015-sys-0016,sys-0015,sys-0016,1,ChartedPassage,Stable,
route-sys-0015-sys-0024,sys-0015,sys-0024,3,ChartedPassage,Stable,
route-sys-0016-sys-0024,sys-0016,sys-0024,3,ChartedPassage,Stable,
route-sys-0017-sys-0019,sys-0017,sys-0019,1,DangerousPassage,Hazardous,
route-sys-0019-sys-0020,sys-0019,sys-0020,1,ChartedPassage,Stable,
route-sys-0020-sys-0022-webway,sys-0020,sys-0022,6,Webway,Stable,hidden:webway
route-sys-0022-sys-0023,sys-0022,sys-0023,1,DangerousPassage,Hazardous,
route-sys-0022-sys-0024-webway,sys-0022,sys-0024,2,Webway,Stable,hidden:webway
route-sys-0023-sys-0024,sys-0023,sys-0024,1,DangerousPassage,Hazardous,
