id,from_system_id,to_system_id,distance,route_type,stability,tags
route-sys-0013-sys-0024,sys-0013,sys-0024,4,DangerousPassage,Hazardous,bridge
route-sys-0014-sys-0017,sys-0014,sys-0017,2,ChartedPassage,Stable,
route-sys-0014-sys-0021,sys-0014,sys-0021,3,ChartedPassage,Stable,
route-sys-0015-sys-0016,sys-0015,sys-0016,1,DangerousPassage,Hazardous,
route-sys-0015-sys-0017-webway,sys-0015,sys-0017,4,Webway,Stable,hidden:webway
route-sys-0015-sys-0018,sys-0015,sys-0018,1,DangerousPassage,Hazardous,
route-sys-0015-sys-0019,sys-0015,sys-0019,1,DangerousPassage,Hazardous,
route-sys-0015-sys-0020-webway,sys-0015,sys-0020,2,Webway,Stable,hidden:webway
route-sys-0016-sys-0018-smuggling,sys-0016,sys-0018,2,SmugglingLane,Stable,hidden:smuggling
route-sys-0016-sys-0019,sys-0016,sys-0019,1,DangerousPassage,Hazardous,
route-sys-0016-sys-0020-smuggling,sys-0016,sys-0020,2,SmugglingLane,Stable,hidden:smuggling
route-sys-0017-sys-0019-webway,sys-0017,sys-0019,3,Webway,Stable,hidden:webway
route-sys-0017-sys-0020-webway,sys-0017,sys-0020,2,Webway,Stable,hidden:webway
route-sys-0017-sys-0021,sys-0017,sys-0021,1,ChartedPassage,Stable,
route-sys-0017-sys-0022,sys-0017,sys-0022,1,DangerousPassage,Hazardous,
route-sys-0017-sys-0023-webway,sys-0017,sys-0023,3,Webway,Stable,hidden:webway
route-sys-0017-sys-0024-smuggling,sys-0017,sys-0024,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0018-sys-0019,sys-0018,sys-0019,1,DangerousPassage,Hazardous,
route-sys-0018-sys-0020-smuggling,sys-0018,sys-0020,2,SmugglingLane,Stable,hidden:smuggling
route-sys-0019-sys-0020,sys-0019,sys-0020,1,DangerousPassage,Hazardous,
route-sys-0020-sys-0021,sys-0020,sys-0021,1,DangerousPassage,Hazardous,
route-sys-0020-sys-0024-smuggling,sys-0020,sys-0024,4,SmugglingLane,Stable,hidden:smuggling
route-sys-0021-sys-0022,sys-0021,sys-0022,1,DangerousPassage,Hazardous,
